Summon_Grp_ID,Summon_Grp_Character_ID,Summon_Grp_Per,Item_Parts_ID,Parts_Value
1,10001,2.8571429,61001,10
1,10002,2.8571429,61002,10
1,10003,2.8571429,61003,10
1,10004,2.8571429,61004,10
1,10005,2.8571429,61005,10
1,10006,2.8571429,61006,10
1,10007,2.8571429,61007,10
1,10008,2.8571429,61008,10
1,10009,2.8571429,61009,10
1,10010,2.8571429,61010,10
1,10011,2.8571429,61011,10
1,10012,2.8571429,61012,10
1,10013,2.8571429,61013,10
1,10014,2.8571429,61014,10
1,10015,2.8571429,61015,10
1,10016,2.8571429,61016,10
1,10017,2.8571429,61017,10
1,10018,2.8571429,61018,10
1,10019,2.8571429,61019,10
1,10020,2.8571429,61020,10
1,10021,2.8571429,61021,10
1,10022,2.8571429,61022,10
1,10023,2.8571429,61023,10
1,10024,2.8571429,61024,10
1,10025,2.8571429,61025,10
1,10026,2.8571429,61026,10
1,10027,2.8571429,61027,10
1,10028,2.8571429,61028,10
1,10029,2.8571429,61029,10
1,10030,2.8571429,61030,10
1,10031,2.8571429,61031,10
1,10032,2.8571429,61032,10
1,10033,2.8571429,61033,10
1,10034,2.8571429,61034,10
1,10035,2.8571429,61035,10
