Summon_Grp_ID,Summon_Grp_Character_ID,Summon_Grp_Per
1,10001,2.857142857
1,10002,2.857142857
1,10003,2.857142857
1,10004,2.857142857
1,10005,2.857142857
1,10006,2.857142857
1,10007,2.857142857
1,10008,2.857142857
1,10009,2.857142857
1,10010,2.857142857
1,10011,2.857142857
1,10012,2.857142857
1,10013,2.857142857
1,10014,2.857142857
1,10015,2.857142857
1,10016,2.857142857
1,10017,2.857142857
1,10018,2.857142857
1,10019,2.857142857
1,10020,2.857142857
1,10021,2.857142857
1,10022,2.857142857
1,10023,2.857142857
1,10024,2.857142857
1,10025,2.857142857
1,10026,2.857142857
1,10027,2.857142857
1,10028,2.857142857
1,10029,2.857142857
1,10030,2.857142857
1,10031,2.857142857
1,10032,2.857142857
1,10033,2.857142857
1,10034,2.857142857
1,10035,2.857142857
2,10001,5
2,10002,5
2,10003,5
2,10004,5
2,10005,2.580645161
2,10006,2.580645161
2,10007,2.580645161
2,10008,2.580645161
2,10009,2.580645161
2,10010,2.580645161
2,10011,2.580645161
2,10012,2.580645161
2,10013,2.580645161
2,10014,2.580645161
2,10015,2.580645161
2,10016,2.580645161
2,10017,2.580645161
2,10018,2.580645161
2,10019,2.580645161
2,10020,2.580645161
2,10021,2.580645161
2,10022,2.580645161
2,10023,2.580645161
2,10024,2.580645161
2,10025,2.580645161
2,10026,2.580645161
2,10027,2.580645161
2,10028,2.580645161
2,10029,2.580645161
2,10030,2.580645161
2,10031,2.580645161
2,10032,2.580645161
2,10033,2.580645161
2,10034,2.580645161
2,10035,2.580645161
